fold,accuracy,training_time,prediction_time,learning_rate,max_depth,n_estimators
1,1.0,38.27691030502319,0.00734710693359375,0.2,3,100
2,0.9285714285714286,36.68781518936157,0.0,0.2,5,50
3,0.9047619047619048,22.341634511947632,0.009395122528076172,0.1,5,200
4,0.9047619047619048,20.348869800567627,0.001964569091796875,0.2,7,50
5,0.9047619047619048,21.085116147994995,0.002200603485107422,0.1,3,200
6,0.9523809523809523,24.839473724365234,0.0,0.1,5,50
7,0.9047619047619048,20.56899881362915,0.0,0.1,5,200
8,0.9285714285714286,20.95997166633606,0.0004363059997558594,0.01,5,200
9,0.9523809523809523,20.52829909324646,0.0010025501251220703,0.1,3,50
10,0.9285714285714286,19.933069229125977,0.0,0.1,3,50
11,0.9523809523809523,20.602560997009277,0.0,0.1,3,100
12,0.9285714285714286,21.49380111694336,0.0,0.2,3,200
13,0.9523809523809523,21.034801244735718,0.009038686752319336,0.2,3,50
14,0.9047619047619048,19.09396529197693,0.0,0.2,3,200
15,0.9761904761904762,24.678647994995117,0.0020072460174560547,0.1,5,50
16,0.9523809523809523,49.7007839679718,0.0,0.2,5,100
17,0.9285714285714286,14.454289674758911,0.0013859272003173828,0.1,3,200
18,0.8809523809523809,22.99685287475586,0.0,0.1,3,200
19,0.9285714285714286,24.11173701286316,0.0,0.1,3,50
20,0.9523809523809523,26.226937770843506,0.0,0.1,3,100
21,0.9285714285714286,24.174046516418457,0.0,0.1,5,100
22,0.9047619047619048,37.51334762573242,0.0026171207427978516,0.01,3,200
23,0.8571428571428571,31.71452021598816,0.003999233245849609,0.1,5,200
24,1.0,32.460400342941284,0.0,0.2,3,50
25,0.9047619047619048,28.2073872089386,0.004537343978881836,0.1,5,200
26,0.9285714285714286,32.82796835899353,0.0,0.2,3,100
27,0.9761904761904762,24.451509952545166,0.008941411972045898,0.1,3,50
28,1.0,24.598864555358887,0.008543729782104492,0.1,3,200
29,0.9523809523809523,20.713309049606323,0.0015320777893066406,0.2,5,100
30,0.9285714285714286,21.6633358001709,0.0011751651763916016,0.1,3,100
31,0.9523809523809523,20.083721160888672,0.0,0.1,5,200
32,0.9761904761904762,22.203933238983154,0.0020020008087158203,0.1,5,200
33,0.9285714285714286,21.613783359527588,0.0,0.1,3,100
34,0.9285714285714286,22.101258516311646,0.008327245712280273,0.1,3,200
35,0.9523809523809523,20.493432760238647,0.008413076400756836,0.1,3,100
36,0.9523809523809523,20.9527485370636,0.0009996891021728516,0.2,3,100
37,0.8809523809523809,20.74619221687317,0.0,0.1,3,50
38,0.9285714285714286,21.688394784927368,0.008409261703491211,0.2,3,200
39,0.9285714285714286,21.116477727890015,0.0018546581268310547,0.2,3,100
40,0.9523809523809523,21.04144525527954,0.002259969711303711,0.01,5,200
41,0.8809523809523809,19.768499851226807,0.00038051605224609375,0.2,3,200
42,0.9047619047619048,21.853283882141113,0.0019998550415039062,0.2,5,100
43,0.9761904761904762,20.38121199607849,0.0011544227600097656,0.2,3,100
44,0.9523809523809523,21.966588735580444,0.0,0.1,5,200
45,1.0,22.226503610610962,0.0,0.2,3,50
46,0.9285714285714286,19.666717767715454,0.0,0.2,3,50
47,0.9285714285714286,23.840662002563477,0.0,0.1,3,100
48,0.9285714285714286,20.615779399871826,0.002000570297241211,0.01,3,200
49,1.0,20.33051824569702,0.0,0.2,5,50
50,0.9285714285714286,20.73549747467041,0.0022308826446533203,0.1,3,100
