Fold,Accuracy,Training_Time,Prediction_Time,Convergence_Warning
1,0.8095238095238095,0.006481170654296875,0.0011506080627441406,True
2,0.8095238095238095,0.004004478454589844,0.0,True
3,0.8571428571428571,0.0064013004302978516,0.0,True
4,0.8095238095238095,0.006554841995239258,0.0,True
5,0.7857142857142857,0.0021109580993652344,0.0,True
6,0.8333333333333334,0.0028901100158691406,0.0,True
7,0.6666666666666666,0.002829313278198242,0.0,True
8,0.7380952380952381,0.0038743019104003906,0.0,True
9,0.8333333333333334,0.0,0.0,True
10,0.8809523809523809,0.0,0.0,True
11,0.7619047619047619,0.009016990661621094,0.0,True
12,0.8333333333333334,0.0,0.0,True
13,0.7619047619047619,0.006429910659790039,0.0,True
14,0.8809523809523809,0.0,0.0,True
15,0.8095238095238095,0.004903078079223633,0.0,True
16,0.8333333333333334,0.00577855110168457,0.0,True
17,0.8333333333333334,0.0062024593353271484,0.0009925365447998047,True
18,0.8333333333333334,0.009400367736816406,0.001001119613647461,True
19,0.7142857142857143,0.00308990478515625,0.0009374618530273438,True
20,0.8333333333333334,0.0032329559326171875,0.0,True
21,0.8809523809523809,0.002821207046508789,0.0,True
22,0.7619047619047619,0.0,0.0,True
23,0.8095238095238095,0.009760856628417969,0.0,True
24,0.7380952380952381,0.0,0.0,True
25,0.8571428571428571,0.009105682373046875,0.0,True
26,0.8809523809523809,0.0008180141448974609,0.0,True
27,0.7142857142857143,0.00510859489440918,0.0,True
28,0.7142857142857143,0.0,0.0,True
29,0.7857142857142857,0.00864267349243164,0.0,True
30,0.8571428571428571,0.0,0.0,True
31,0.7619047619047619,0.008138895034790039,0.0,True
32,0.8095238095238095,0.0020072460174560547,0.0,True
33,0.8333333333333334,0.005952358245849609,0.0,True
34,0.8095238095238095,0.0021970272064208984,0.0,True
35,0.8095238095238095,0.0014977455139160156,0.0,True
36,0.7619047619047619,0.0,0.0,True
37,0.7142857142857143,0.009294271469116211,0.002759695053100586,True
38,0.7619047619047619,0.0043871402740478516,0.0,True
39,0.8571428571428571,0.005791187286376953,0.0,True
40,0.8809523809523809,0.003891468048095703,0.0010001659393310547,True
41,0.8571428571428571,0.0,0.0,True
42,0.6904761904761905,0.007499217987060547,0.0,True
43,0.9047619047619048,0.0,0.0,True
44,0.8333333333333334,0.009507894515991211,0.0,True
45,0.7619047619047619,0.004631996154785156,0.0,True
46,0.7857142857142857,0.0025489330291748047,0.0,True
47,0.8333333333333334,0.007961750030517578,0.0010004043579101562,True
48,0.8333333333333334,0.0033636093139648438,0.0007164478302001953,True
49,0.8571428571428571,0.0028798580169677734,0.0,True
50,0.7619047619047619,0.006757974624633789,0.0,True
