fold,accuracy,training_time,prediction_time,C,degree,gamma,kernel
1,0.8918918918918919,3.719081401824951,0.0,100.0,2,auto,rbf
2,0.8648648648648649,0.38715028762817383,0.0,100.0,2,auto,rbf
3,0.8333333333333334,0.383955717086792,0.0,100.0,2,auto,rbf
4,0.9166666666666666,0.40948033332824707,0.0,10.0,2,scale,rbf
5,0.9722222222222222,0.39992809295654297,0.0,10.0,2,scale,rbf
6,0.8648648648648649,0.4053690433502197,0.0,1.0,2,scale,poly
7,0.8918918918918919,0.43007731437683105,0.0010156631469726562,10.0,2,scale,rbf
8,0.8055555555555556,0.3690047264099121,0.0,100.0,2,auto,rbf
9,0.9444444444444444,0.39883995056152344,0.0,10.0,2,scale,rbf
10,0.8888888888888888,0.3862760066986084,0.0,10.0,2,scale,rbf
11,0.918918918918919,0.3638498783111572,0.0,100.0,2,auto,rbf
12,0.972972972972973,0.3664076328277588,0.0036334991455078125,1.0,2,scale,poly
13,0.8888888888888888,0.35999393463134766,0.0,1.0,2,scale,poly
14,0.8333333333333334,0.35983967781066895,0.0,100.0,2,auto,rbf
15,0.8888888888888888,0.37076520919799805,0.004204511642456055,10.0,2,scale,rbf
16,0.8648648648648649,0.3802056312561035,0.0,10.0,2,scale,rbf
17,0.8918918918918919,0.34558677673339844,0.0,100.0,2,auto,poly
18,0.8611111111111112,0.35040998458862305,0.0,10.0,2,scale,rbf
19,0.8333333333333334,0.35016727447509766,0.0,100.0,2,auto,rbf
20,0.9444444444444444,0.3555786609649658,0.0,10.0,2,scale,rbf
21,0.8648648648648649,0.34462642669677734,0.0,10.0,2,scale,rbf
22,0.9459459459459459,0.35794782638549805,0.0,100.0,2,auto,rbf
23,0.8888888888888888,0.349956750869751,0.0,10.0,2,scale,rbf
24,0.8611111111111112,0.3887367248535156,0.0,1.0,2,scale,rbf
25,0.8888888888888888,0.3500514030456543,0.0,0.1,4,scale,poly
26,0.8918918918918919,0.3660240173339844,0.0,100.0,2,auto,rbf
27,0.8918918918918919,0.3690967559814453,0.0,100.0,2,auto,rbf
28,0.8888888888888888,0.36278724670410156,0.0,10.0,2,scale,rbf
29,0.8333333333333334,0.3506467342376709,0.0,10.0,2,scale,rbf
30,0.8611111111111112,0.3576014041900635,0.0009005069732666016,10.0,2,scale,rbf
31,0.8648648648648649,0.34911131858825684,0.0,100.0,2,auto,rbf
32,0.972972972972973,0.367830753326416,0.0,10.0,2,scale,rbf
33,0.7777777777777778,0.36145830154418945,0.0,100.0,2,scale,rbf
34,0.9166666666666666,0.34979248046875,0.0,10.0,2,scale,rbf
35,0.9166666666666666,0.34642601013183594,0.0,10.0,2,scale,rbf
36,0.8918918918918919,0.34976696968078613,0.0,10.0,2,scale,rbf
37,0.8648648648648649,0.3581416606903076,0.0,100.0,2,auto,poly
38,0.8333333333333334,0.37865757942199707,0.0,1.0,2,scale,rbf
39,0.8611111111111112,0.4159393310546875,0.0,100.0,2,auto,poly
40,0.8611111111111112,0.45415282249450684,0.0,1.0,2,scale,rbf
41,0.8378378378378378,0.47574806213378906,0.0,10.0,2,scale,rbf
42,0.8648648648648649,0.47412657737731934,0.0,100.0,2,auto,rbf
43,0.9444444444444444,0.44676899909973145,0.0,100.0,2,auto,rbf
44,0.9722222222222222,0.45308685302734375,0.0,10.0,2,scale,rbf
45,0.9722222222222222,0.450350284576416,0.0,10.0,2,scale,rbf
46,0.918918918918919,0.46233201026916504,0.0,10.0,2,scale,rbf
47,0.972972972972973,0.45751476287841797,0.004983186721801758,10.0,2,scale,rbf
48,0.9166666666666666,0.4448385238647461,0.0,100.0,2,auto,rbf
49,0.8333333333333334,0.43448376655578613,0.0,100.0,2,auto,rbf
50,0.9444444444444444,0.4420912265777588,0.0,10.0,2,scale,rbf
